,HCT116_DMSO_8h,HCT116_DMSO_24h,HCT116_HCQ_8h,HCT116_HCQ_24h,HCT116_Rem_8h,HCT116_Rem_24h,HepG2_DMSO_8h,HepG2_DMSO_24h,HepG2_HCQ_8h,HepG2_HCQ_24h,HepG2_Rem_8h,HepG2_Rem_24h,HT29_DMSO_8h,HT29_DMSO_24h,HT29_HCQ_8h,HT29_HCQ_24h,HT29_Rem_8h,HT29_Rem_24h,PLC_DMSO_8h,PLC_DMSO_24h,PLC_HCQ_8h,PLC_HCQ_24h,PLC_Rem_8h,PLC_Rem_24h
ENSG00000000003.14,189,177,84,88,74,515,979,824,824,757,754,337,380,171,114,91,1442,64,1191,132,108,160,132,249
ENSG00000000419.12,233,304,87,102,105,708,215,152,301,195,149,263,297,81,91,74,980,75,915,67,47,122,51,190
ENSG00000000457.13,36,40,26,36,25,211,53,24,46,39,46,42,89,46,33,32,513,42,258,21,37,98,37,121
ENSG00000000460.16,53,51,16,18,16,93,62,67,44,23,26,22,97,43,38,12,251,18,309,25,27,41,18,40
ENSG00000000971.15,0,0,0,0,0,0,0,0,0,0,0,0,55,27,19,15,243,4,15,1,2,0,1,5
ENSG00000001036.13,257,231,74,93,73,826,545,375,500,425,397,414,294,120,88,84,1378,78,3058,297,282,614,310,816
ENSG00000001084.11,345,323,84,123,123,2654,473,369,415,444,250,1158,672,343,164,285,2783,286,1532,144,84,272,78,410
ENSG00000001167.14,44,48,12,11,21,124,118,117,47,43,60,109,72,27,9,8,237,26,416,54,24,50,23,80
ENSG00000001460.17,31,37,10,8,12,150,33,11,7,10,13,23,45,20,18,7,236,13,87,11,2,10,2,20
ENSG00000001461.16,39,55,28,49,15,218,65,49,42,52,32,39,239,115,100,105,1309,89,241,20,30,48,18,76
ENSG00000001497.16,201,183,68,67,86,514,115,109,129,69,89,111,394,135,112,73,1370,161,885,91,54,71,65,204
ENSG00000001561.6,75,79,10,11,15,169,2,1,0,0,0,2,54,28,7,16,164,27,308,40,21,37,22,97
ENSG00000001617.11,18,24,1,12,11,111,89,62,83,97,83,79,33,12,9,8,92,10,40,4,11,8,3,5
ENSG00000001626.14,0,0,1,0,0,0,0,0,0,0,0,0,89,63,33,64,293,3,14,0,2,0,0,7
ENSG00000001629.9,202,188,63,54,57,380,299,182,208,173,183,268,574,291,181,149,2391,157,1712,162,120,265,124,391
ENSG00000001630.15,22,21,15,33,7,70,56,36,99,131,18,26,38,16,28,41,230,10,135,20,14,70,13,42
ENSG00000001631.15,125,135,51,43,39,263,181,125,170,170,152,106,180,96,82,51,896,65,832,68,105,159,65,191
ENSG00000002016.17,51,40,18,8,29,200,47,25,46,26,43,31,14,10,1,5,86,6,128,12,5,14,14,41
ENSG00000002079.14,4,4,4,14,2,24,8,2,11,7,12,38,0,0,0,1,6,0,2,0,0,10,0,2
ENSG00000002330.13,158,167,73,64,41,250,65,72,76,69,51,61,205,97,58,52,603,34,1383,129,114,260,134,354
ENSG00000002549.12,426,343,102,80,108,919,345,216,275,318,222,209,282,158,99,52,1496,48,1039,93,103,178,106,237
ENSG00000002587.9,540,488,85,105,194,1709,0,0,1,0,0,0,339,170,93,53,2464,104,2,0,0,0,0,2
ENSG00000002726.20,0,0,0,0,0,0,0,0,0,0,0,1,16,5,5,3,53,0,0,0,0,0,0,0
