,fromNode,toNode,weight,direction,fromAltName,toAltName
1,ENSG00000068976.13,ENSG00000070669.16,0.049355025,undirected,PYGM,ASNS
2,ENSG00000068976.13,ENSG00000073605.18,0.091854019,undirected,PYGM,GSDMB
3,ENSG00000068976.13,ENSG00000074181.8,0.096761996,undirected,PYGM,NOTCH3
4,ENSG00000068976.13,ENSG00000085999.11,0.075884033,undirected,PYGM,RAD54L
5,ENSG00000068976.13,ENSG00000088826.17,0.091393949,undirected,PYGM,SMOX
6,ENSG00000068976.13,ENSG00000102524.11,0.11738882,undirected,PYGM,TNFSF13B
7,ENSG00000068976.13,ENSG00000105131.7,0.13855415,undirected,PYGM,EPHX3
8,ENSG00000068976.13,ENSG00000105708.8,0.081931574,undirected,PYGM,ZNF14
9,ENSG00000068976.13,ENSG00000106701.11,0.038370923,undirected,PYGM,FSD1L
10,ENSG00000068976.13,ENSG00000108641.15,0.062915572,undirected,PYGM,B9D1
11,ENSG00000068976.13,ENSG00000116525.13,0.040345055,undirected,PYGM,TRIM62
12,ENSG00000068976.13,ENSG00000124224.16,0.056160797,undirected,PYGM,PPP4R1L
13,ENSG00000068976.13,ENSG00000127364.3,0.157711843,undirected,PYGM,TAS2R4
14,ENSG00000068976.13,ENSG00000128692.8,0.078106881,undirected,PYGM,EIF2S2P4
15,ENSG00000068976.13,ENSG00000129749.3,0.232932535,undirected,PYGM,CHRNA10
16,ENSG00000068976.13,ENSG00000130518.16,0.183942152,undirected,PYGM,IQCN
17,ENSG00000068976.13,ENSG00000130997.16,0.067603599,undirected,PYGM,POLN
18,ENSG00000068976.13,ENSG00000131480.8,0.152224276,undirected,PYGM,AOC2
19,ENSG00000068976.13,ENSG00000133624.13,0.054850283,undirected,PYGM,ZNF767P
20,ENSG00000068976.13,ENSG00000135407.10,0.123978767,undirected,PYGM,AVIL
21,ENSG00000068976.13,ENSG00000137434.11,0.065308539,undirected,PYGM,C6orf52
22,ENSG00000068976.13,ENSG00000138769.10,0.24883499,undirected,PYGM,CDKL2
23,ENSG00000068976.13,ENSG00000143178.12,0.065989917,undirected,PYGM,TBX19
24,ENSG00000068976.13,ENSG00000144671.10,0.229198899,undirected,PYGM,SLC22A14
25,ENSG00000068976.13,ENSG00000146094.14,0.195415961,undirected,PYGM,DOK3
26,ENSG00000068976.13,ENSG00000147166.10,0.196630138,undirected,PYGM,ITGB1BP2
27,ENSG00000068976.13,ENSG00000147174.11,0.214058747,undirected,PYGM,GCNA
28,ENSG00000068976.13,ENSG00000152433.14,0.095181872,undirected,PYGM,ZNF547
29,ENSG00000068976.13,ENSG00000152763.16,0.091830222,undirected,PYGM,WDR78
30,ENSG00000068976.13,ENSG00000153495.10,0.234231755,undirected,PYGM,TEX29
31,ENSG00000068976.13,ENSG00000154263.17,0.037091365,undirected,PYGM,ABCA10
32,ENSG00000068976.13,ENSG00000155749.12,0.204868459,undirected,PYGM,ALS2CR12
33,ENSG00000068976.13,ENSG00000156427.7,0.213720909,undirected,PYGM,FGF18
34,ENSG00000068976.13,ENSG00000158023.9,0.212957883,undirected,PYGM,WDR66
