"","x"
"ENSG00000210082.2",352283.208333333
"ENSG00000211459.2",115106.5
"ENSG00000198938.2",113046.916666667
"ENSG00000198886.2",111648.541666667
"ENSG00000198899.2",79197.7916666667
"ENSG00000198840.2",74584.0416666667
"ENSG00000198763.3",74028.2916666667
"ENSG00000198727.2",54589.5833333333
"ENSG00000096384.19",48320.125
"ENSG00000166441.12",43274.4583333333
"ENSG00000228253.1",42440.2083333333
"ENSG00000111640.14",37675.1666666667
"ENSG00000080824.18",37513.7083333333
"ENSG00000143947.13",36958.9583333333
"ENSG00000251562.8",36272.25
"ENSG00000198712.1",35792.8333333333
"ENSG00000112306.7",33848.125
"ENSG00000149273.14",30501.7916666667
"ENSG00000197756.9",30396.0833333333
"ENSG00000187514.16",30274.3333333333
"ENSG00000087086.14",29733.6666666667
"ENSG00000084207.16",28397.375
"ENSG00000198034.10",27986.125
"ENSG00000105372.7",26788.2083333333
"ENSG00000138326.19",26537.0416666667
"ENSG00000210049.1",26304.4166666667
"ENSG00000137818.11",26117.9166666667
"ENSG00000198786.2",25871.0416666667
"ENSG00000070756.15",24390.5
"ENSG00000209082.1",23098.5833333333
"ENSG00000142534.6",20267.625
"ENSG00000137154.12",18765.625
"ENSG00000115053.15",18369.1666666667
"ENSG00000198804.2",17215.9166666667
"ENSG00000198888.2",16855.5
"ENSG00000105193.8",16721.75
"ENSG00000111057.10",16597.7916666667
"ENSG00000144713.12",16474.2083333333
"ENSG00000184009.10",16309.9583333333
"ENSG00000213741.10",16255.1666666667
"ENSG00000161016.17",16024
"ENSG00000164587.12",15545.5
"ENSG00000156482.10",14715.125
"ENSG00000142937.11",14691.7083333333
"ENSG00000133112.16",14635.5833333333
"ENSG00000084674.14",14586.2916666667
"ENSG00000063177.12",14401.5
"ENSG00000212907.2",14127.125
"ENSG00000089157.15",14097.25
"ENSG00000106153.12",14066.25
"ENSG00000161970.13",13995.4583333333
"ENSG00000089220.4",13815
"ENSG00000149806.10",13557.7083333333
"ENSG00000067225.17",13070.875
"ENSG00000008988.9",13039.5
"ENSG00000130513.6",13016.0416666667
"ENSG00000166913.12",12641.75
"ENSG00000196230.12",12323.0416666667
"ENSG00000074800.14",12303
"ENSG00000177600.8",12237.5416666667
"ENSG00000123416.15",12076.2916666667
"ENSG00000125691.12",12019.875
"ENSG00000197061.4",11904.4583333333
"ENSG00000083845.8",11557.6666666667
"ENSG00000137309.19",11263.4583333333
"ENSG00000105438.8",11175.875
"ENSG00000136942.14",11042
"ENSG00000142541.16",10837.9166666667
"ENSG00000167658.15",10800.2083333333
"ENSG00000108298.10",10630.125
"ENSG00000172809.12",10531.9166666667
"ENSG00000142676.13",10484.875
"ENSG00000171858.17",10453.4166666667
"ENSG00000145592.13",10286.625
"ENSG00000071082.10",10282.625
"ENSG00000181163.13",10264.1666666667
"ENSG00000115268.9",10134.5
"ENSG00000122406.13",10054.5
"ENSG00000069275.12",9863.29166666667
"ENSG00000125148.6",9699.125
"ENSG00000117450.13",9670.58333333333
"ENSG00000182899.15",9608.04166666667
"ENSG00000107581.12",9405.75
"ENSG00000196924.15",9398.75
"ENSG00000158874.11",9180.625
"ENSG00000137331.11",9163.83333333333
"ENSG00000119335.16",9160.58333333333
"ENSG00000158710.14",9112.625
"ENSG00000147649.9",8923.95833333333
"ENSG00000167996.15",8878.75
"ENSG00000142864.14",8872.29166666667
"ENSG00000044574.7",8834.29166666667
"ENSG00000147604.13",8749.33333333333
"ENSG00000127022.14",8729.5
"ENSG00000124614.14",8542.95833333333
"ENSG00000165732.12",8449.29166666667
"ENSG00000105202.8",8429.16666666667
"ENSG00000130826.17",8336.75
"ENSG00000144381.16",8287.375
"ENSG00000198242.13",8177.20833333333
"ENSG00000172757.12",8098
"ENSG00000167553.15",8075.66666666667
"ENSG00000170889.13",7939.95833333333
"ENSG00000131469.13",7888.16666666667
